사용일자,in_final,out_final,net_in_out_final,pre_week,next_week,week,weekend&public holiday
2023-03-10,34346.65653,36669.6333,-2322.976770000001,-1064.9096500000005,-2024.9797500000009,4,0
2023-03-13,33294.667050000004,35144.64855,-1849.9814999999994,-2032.979669999999,-1818.9818099999998,0,0
2023-03-14,33920.66079,35669.6433,-1748.9825099999998,-1984.9801499999996,-1777.9822200000008,1,0
2023-03-15,34734.652649999996,36474.63525,-1739.9826000000003,-1553.9844599999997,-2247.9775200000017,2,0
2023-03-16,34552.65447,36601.63398,-2048.979510000001,-2080.9791899999996,-1558.9844099999991,3,0
2023-03-17,35099.649,37445.62554,-2345.9765400000006,-1791.9820800000016,-1895.9810400000006,4,0
2023-03-20,34213.65786,36394.63605,-2180.9781900000003,-1767.9823200000005,-2036.9796299999991,0,0
2023-03-21,33801.66198,35826.64173,-2024.9797500000009,-2322.976770000001,-1992.98007,1,0
2023-03-22,33765.66234,35584.64415,-1818.9818099999998,-1849.9814999999994,-2300.9769899999997,2,0
2023-03-23,34161.65838,35939.6406,-1777.9822200000008,-1748.9825099999998,-2522.9747700000016,3,0
2023-03-24,35502.64497,37750.62249,-2247.9775200000017,-1739.9826000000003,-1693.9830600000018,4,0
2023-03-27,34292.65707,35851.64148,-1558.9844099999991,-2048.979510000001,-1834.98165,0,0
2023-03-28,34073.65926,35969.6403,-1895.9810400000006,-2345.9765400000006,-2446.9755299999997,1,0
2023-03-29,33886.66113,35923.64076,-2036.9796299999991,-2180.9781900000003,-2402.9759700000013,2,0
2023-03-30,34222.65777,36215.63784,-1992.98007,-2024.9797500000009,-1870.9812900000006,3,0
2023-03-31,35404.64595,37705.62294,-2300.9769899999997,-1818.9818099999998,-1660.9833899999999,4,0
2023-04-03,35092.64907,37615.62384,-2522.9747700000016,-1777.9822200000008,-2097.9790200000016,0,0
2023-04-04,34484.65515,36178.638210000005,-1693.9830600000018,-2247.9775200000017,-2085.9791399999995,1,0
2023-04-05,32422.67577,34257.65742,-1834.98165,-1558.9844099999991,-2622.97377,2,0
2023-04-06,34077.65922,36524.63475,-2446.9755299999997,-1895.9810400000006,-1400.9859900000015,3,0
2023-04-07,36468.63531,38871.611280000005,-2402.9759700000013,-2036.9796299999991,-1343.9865599999996,4,0
2023-04-10,32821.67178,34692.65307,-1870.9812900000006,-1992.98007,-780.992189999999,0,0
2023-04-11,31673.68326,33334.66665,-1660.9833899999999,-2300.9769899999997,-1199.9880000000007,1,0
2023-04-12,33930.66069,36028.63971,-2097.9790200000016,-2522.9747700000016,-2307.976920000001,2,0
2023-04-13,33812.661869999996,35898.64101,-2085.9791399999995,-1693.9830600000018,-965.9903400000007,3,0
2023-04-14,34954.65045,37577.62422,-2622.97377,-1834.98165,-1472.9852700000006,4,0
2023-04-17,32518.67481,33919.6608,-1400.9859900000015,-2446.9755299999997,-1602.9839699999995,0,0
2023-04-18,30869.691300000002,32213.67786,-1343.9865599999996,-2402.9759700000013,-1974.980250000002,1,0
2023-04-19,33600.66399,34381.65618,-780.992189999999,-1870.9812900000006,-2623.9737600000026,2,0
2023-04-20,32220.67779,33420.66579,-1199.9880000000007,-1660.9833899999999,-3111.7135599999997,3,0
2023-04-21,33993.66006,36301.63698,-2307.976920000001,-2097.9790200000016,-1947.6579399999991,4,0
2023-04-24,32740.672590000002,33706.66293,-965.9903400000007,-2085.9791399999995,-2970.6423300000006,0,0
2023-04-25,31559.6844,33032.66967,-1472.9852700000006,-2622.97377,-2905.6328699999995,1,0
2023-04-26,33294.667050000004,34897.651020000005,-1602.9839699999995,-1400.9859900000015,-1184.6950399999998,2,0
2023-04-27,33127.66872,35102.64897,-1974.980250000002,-1343.9865599999996,-1871.6857699999987,3,0
2023-04-28,34754.65245,37378.62621,-2623.9737600000026,-780.992189999999,-1992.6744499999995,4,0
2023-05-01,28644.28644,31756.0,-3111.7135599999997,-1199.9880000000007,-1576.676749999999,0,0
2023-05-02,34206.342059999995,36154.0,-1947.6579399999991,-2307.976920000001,-1433.6507900000004,1,0
2023-05-03,35767.35767,38738.0,-2970.6423300000006,-965.9903400000007,-1342.6754399999998,2,0
2023-05-04,36713.36713,39619.0,-2905.6328699999995,-1472.9852700000006,-654.6659500000001,3,0
2023-05-08,30496.30496,31681.0,-1184.6950399999998,-1602.9839699999995,-946.6521599999986,0,0
2023-05-09,31423.31423,33295.0,-1871.6857699999987,-1974.980250000002,-2064.675269999999,1,0
2023-05-10,32555.32555,34548.0,-1992.6744499999995,-2623.9737600000026,-2060.6579099999994,2,0
2023-05-11,32325.323249999998,33902.0,-1576.676749999999,-3111.7135599999997,-1476.67081,3,0
2023-05-12,34921.34921,36355.0,-1433.6507900000004,-1947.6579399999991,-1669.67356,4,0
2023-05-15,32456.32456,33799.0,-1342.6754399999998,-2970.6423300000006,-1567.6734400000003,0,0
2023-05-16,33405.33405,34060.0,-654.6659500000001,-2905.6328699999995,-1769.6722800000002,1,0
2023-05-17,34784.34784,35731.0,-946.6521599999986,-1184.6950399999998,-2028.6557799999994,2,0
2023-05-18,32473.32473,34538.0,-2064.675269999999,-1871.6857699999987,-1040.7654199999993,3,0
2023-05-19,34209.34209,36270.0,-2060.6579099999994,-1992.6744499999995,-1632.6845099999987,4,0
